field_name	BBRP1	ERRP1	FGC1	FGREM1	FGRP1	FLC1	FLC2	FLREM1	FLRP1	FLRP4	FLRP5	FLRSP1	FLRSP2	FLRSP3	KORP1	LPC1	LPREM1	LPRP1	LPRP2	MBREM1	MBRP1	MHRP1	MHRP2	PHC1	PHRP1
FLRP5	0.249557021	0.328975433	0.469121962	0.371416501	0.387144759	0.350843038	0.454900023	0.25746875	0.184196403	0.199642091	0	0.32313351	0.278785597	0.342024811	0.216915537	0.415106711	0.396092348	0.414668072	0.409227446	0.480547948	0.407525566	0.336153293	0.380547303	0.498304085	0.357825784
FLRSP1	0.347082672	0.318203533	0.534307631	0.442256574	0.458359808	0.34586144	0.4901735	0.374548919	0.366708199	0.324888538	0.32313351	0	0.270522179	0.200084424	0.341854734	0.508506511	0.381916118	0.427451523	0.379621521	0.468853791	0.377424044	0.368253612	0.428725678	0.543872926	0.388506862
FLRSP2	0.252399761	0.320635439	0.484797847	0.420375106	0.439095398	0.39793741	0.445353933	0.34720449	0.275281101	0.277101775	0.278785597	0.270522179	0	0.263227251	0.293428881	0.455618367	0.360448801	0.389817534	0.352126035	0.461686268	0.374557474	0.332719623	0.369157112	0.524379786	0.387928467
FLRSP3	0.310235485	0.385508115	0.489194567	0.444300955	0.496941806	0.388760702	0.467400974	0.394555012	0.311243633	0.269793007	0.342024811	0.200084424	0.263227251	0	0.358542839	0.482435273	0.344931641	0.44369272	0.397986062	0.410313005	0.366279594	0.405594052	0.437566263	0.548664378	0.435427246
KORP1	0.192180493	0.348128968	0.446156517	0.384125564	0.373320715	0.360759275	0.44688136	0.324152306	0.288039602	0.280774615	0.216915537	0.341854734	0.293428881	0.358542839	0	0.397635662	0.379349538	0.386000887	0.37960242	0.412913975	0.382259218	0.366574267	0.358460856	0.462487726	0.342006957
LPC1	0.40412802	0.396353897	0.295337525	0.501091452	0.313222969	0.307588701	0.241709137	0.315335129	0.428194194	0.442830875	0.415106711	0.508506511	0.455618367	0.482435273	0.397635662	0	0.489641367	0.294400184	0.329594712	0.574948258	0.391124245	0.349641432	0.293332014	0.350196748	0.309130119
LPREM1	0.32608844	0.362450094	0.478194377	0.465831335	0.484898985	0.419069529	0.492697469	0.44159322	0.441969205	0.406783137	0.396092348	0.381916118	0.360448801	0.344931641	0.379349538	0.489641367	0	0.391951663	0.410112184	0.489573594	0.340959895	0.468898501	0.410616452	0.510584555	0.354802806
LPRP1	0.37660664	0.312436283	0.287371278	0.449394242	0.250140819	0.27493214	0.340553863	0.333739828	0.469271854	0.444001518	0.414668072	0.427451523	0.389817534	0.44369272	0.386000887	0.294400184	0.391951663	0	0.27013445	0.533972336	0.329637614	0.321486438	0.246354507	0.289055827	0.249719647
LPRP2	0.342810231	0.346066305	0.345418537	0.471733243	0.342047348	0.294011159	0.35449025	0.3668125	0.429388378	0.398936175	0.409227446	0.379621521	0.352126035	0.397986062	0.37960242	0.329594712	0.410112184	0.27013445	0	0.538043016	0.371503124	0.317532997	0.277476911	0.401415907	0.30951608
MBREM1	0.410542213	0.541898467	0.5694198	0.540301317	0.563641473	0.514776477	0.629943441	0.55155099	0.443384456	0.449570938	0.480547948	0.468853791	0.461686268	0.410313005	0.412913975	0.574948258	0.489573594	0.533972336	0.538043016	0	0.388519976	0.571202927	0.543655116	0.606017082	0.590489229
MBRP1	0.36901437	0.371085646	0.399385189	0.511027051	0.383798473	0.330839992	0.401205974	0.386063505	0.438695344	0.433471274	0.407525566	0.377424044	0.374557474	0.366279594	0.382259218	0.391124245	0.340959895	0.329637614	0.371503124	0.388519976	0	0.411347506	0.344665511	0.429118148	0.348278743
MHRP1	0.382771283	0.338233745	0.39632853	0.416462263	0.249565195	0.265409753	0.396574957	0.241775183	0.293477111	0.348428351	0.336153293	0.368253612	0.332719623	0.405594052	0.366574267	0.349641432	0.468898501	0.321486438	0.317532997	0.571202927	0.411347506	0	0.242679862	0.394512992	0.291909846
MHRP2	0.331248744	0.29989948	0.329147761	0.456033379	0.246785629	0.225803609	0.355089797	0.285717706	0.409291037	0.413430999	0.380547303	0.428725678	0.369157112	0.437566263	0.358460856	0.293332014	0.410616452	0.246354507	0.277476911	0.543655116	0.344665511	0.242679862	0	0.329507294	0.216841737
PHC1	0.482525543	0.411291456	0.29172952	0.501290631	0.313863987	0.369271881	0.424547811	0.427366856	0.527591774	0.526823084	0.498304085	0.543872926	0.524379786	0.548664378	0.462487726	0.350196748	0.510584555	0.289055827	0.401415907	0.606017082	0.429118148	0.394512992	0.329507294	0	0.342902598
PHRP1	0.332411961	0.304203443	0.362981577	0.394072992	0.286743627	0.264237794	0.324170301	0.28386048	0.408397261	0.40837265	0.357825784	0.388506862	0.387928467	0.435427246	0.342006957	0.309130119	0.354802806	0.249719647	0.30951608	0.590489229	0.348278743	0.291909846	0.216841737	0.342902598	0
