otu_num,phylum,class,order,family,genus,species,primary_lifestyle
otu_1825,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,Sporormiella_megalospora,litter_saprotroph
otu_1826,NA,NA,NA,NA,NA,NA,NA
otu_1827,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1828,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,unidentified,NA
otu_1829,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1830,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,unidentified,soil_saprotroph
otu_1831,Ascomycota,Dothideomycetes,NA,NA,NA,NA,NA
otu_1832,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Strossmayeria,Strossmayeria_bakeriana,NA
otu_1833,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA
otu_1834,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,unidentified,plant_pathogen
otu_1835,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,unidentified,unidentified,NA
otu_1836,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,NA
otu_1837,NA,NA,NA,NA,NA,NA,NA
otu_1838,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora_fusispora,wood_saprotroph
otu_1839,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,unidentified,root_endophyte
otu_1840,Glomeromycota,NA,NA,NA,NA,NA,NA
otu_1841,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,NA,plant_pathogen
otu_1842,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1843,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,NA,NA,NA
otu_1844,NA,NA,NA,NA,NA,NA,NA
otu_1845,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1846,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA
otu_1847,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA,NA
otu_1848,Basidiomycota,Microbotryomycetes,Sporidiobolales,unidentified,unidentified,unidentified,NA
otu_1849,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unidentified,arbuscular_mycorrhizal
otu_1850,NA,NA,NA,NA,NA,NA,NA
otu_1851,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,arbuscular_mycorrhizal
otu_1852,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,NA,wood_saprotroph
otu_1853,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_pseudomarcescibilis,soil_saprotroph
otu_1854,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,dung_saprotroph
otu_1855,Ascomycota,Leotiomycetes,NA,NA,NA,NA,NA
otu_1856,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,unidentified,NA
otu_1857,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,NA,ectomycorrhizal
otu_1858,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Fusidium,unidentified,NA
otu_1859,Ascomycota,Dothideomycetes,Pleosporales,Tetraplosphaeriaceae,NA,NA,NA
otu_1860,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_poliopus,soil_saprotroph
otu_1861,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta_inflorescentiae,wood_saprotroph
otu_1862,NA,NA,NA,NA,NA,NA,NA
otu_1863,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Phanerochaete_tuberculata,wood_saprotroph
otu_1864,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,unidentified,NA
otu_1865,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora,Alatospora_acuminata,NA
otu_1866,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1867,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA,NA
otu_1868,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1869,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,NA,soil_saprotroph
otu_1870,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1871,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA,unspecified_saprotroph
otu_1872,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pulvinula,unidentified,NA
otu_1873,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA,NA
otu_1874,NA,NA,NA,NA,NA,NA,NA
otu_1875,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,unidentified,unidentified,NA
otu_1876,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA,NA
otu_1877,NA,NA,NA,NA,NA,NA,NA
otu_1878,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pseudorobillarda,Pseudorobillarda_sojae,NA
otu_1879,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,NA,arbuscular_mycorrhizal
otu_1880,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster_griseus,ectomycorrhizal
otu_1881,NA,NA,NA,NA,NA,NA,NA
otu_1882,Ascomycota,Orbiliomycetes,Orbiliales,unidentified,unidentified,unidentified,NA
otu_1883,Ascomycota,Eurotiomycetes,Onygenales,unidentified,unidentified,unidentified,NA
otu_1884,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Strelitziana,Strelitziana_albiziae,NA
otu_1885,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA
otu_1886,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,soil_saprotroph
otu_1887,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,unidentified,unidentified,NA
otu_1888,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1889,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,NA,unspecified_saprotroph
otu_1890,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,unidentified,NA
otu_1891,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_porphyrocephalus_var._pallidus,soil_saprotroph
otu_1892,NA,NA,NA,NA,NA,NA,NA
otu_1893,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA,NA
otu_1894,Glomeromycota,NA,NA,NA,NA,NA,NA
otu_1895,Basidiomycota,Agaricomycetes,Russulales,unidentified,unidentified,unidentified,NA
otu_1896,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Acremoniopsis,Acremoniopsis_suttonii,NA
otu_1897,NA,NA,NA,NA,NA,NA,NA
otu_1898,NA,NA,NA,NA,NA,NA,NA
otu_1899,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Ramariopsis,unidentified,soil_saprotroph
otu_1900,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1901,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,root_endophyte
otu_1902,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,unidentified,NA
otu_1903,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_canoceps,soil_saprotroph
otu_1904,NA,NA,NA,NA,NA,NA,NA
otu_1905,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA,NA
otu_1906,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1907,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_beljakovae,soil_saprotroph
otu_1908,NA,NA,NA,NA,NA,NA,NA
otu_1909,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,unidentified,soil_saprotroph
otu_1910,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,NA,plant_pathogen
otu_1911,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,NA,NA
otu_1912,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Pseudoophiobolus,NA,litter_saprotroph
otu_1913,Ascomycota,Leotiomycetes,NA,NA,NA,NA,NA
otu_1914,Glomeromycota,unidentified,unidentified,unidentified,unidentified,unidentified,NA
otu_1915,NA,NA,NA,NA,NA,NA,NA
otu_1916,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,unidentified,unidentified,NA
otu_1917,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Massariosphaeria,Massariosphaeria_roumeguerei,NA
otu_1918,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1919,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_viscosum,arbuscular_mycorrhizal
otu_1920,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA
otu_1921,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_cystojenkinii,soil_saprotroph
otu_1922,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,unidentified,arbuscular_mycorrhizal
otu_1923,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,NA
otu_1924,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena_leptocephala,NA
otu_1925,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Efibulobasidium,unidentified,litter_saprotroph
otu_1926,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus_claroideum,arbuscular_mycorrhizal
otu_1927,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1928,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Neocamarosporium,NA,NA
otu_1929,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA,NA
otu_1930,Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,unidentified,NA
otu_1931,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Chrysozyma,Chrysozyma_griseoflava,NA
otu_1932,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,unidentified,unidentified,NA
otu_1933,Ascomycota,Sordariomycetes,Diaporthales,NA,NA,NA,NA
otu_1934,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,NA,NA
otu_1935,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA
otu_1936,NA,NA,NA,NA,NA,NA,NA
otu_1937,NA,NA,NA,NA,NA,NA,NA
otu_1938,Ascomycota,Orbiliomycetes,GS32,unidentified,unidentified,unidentified,NA
otu_1939,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1940,NA,NA,NA,NA,NA,NA,NA
otu_1941,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Lindtneria,NA,wood_saprotroph
otu_1942,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,arbuscular_mycorrhizal
otu_1943,NA,NA,NA,NA,NA,NA,NA
