sv_num,otu_ID,class,order,family,genus,taxon,accession
sv_578,719992555d078877d5e555ade6af4977,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_579,41ddc3e5220239693ab7b76340749f88,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_580,b41eb3e230eebda711901f6d06b7c313,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G8, VTX00130
sv_581,4d198fdaa271920c38eaa15b0f07e327,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_582,05abcc46da407dd860d98ca47c85b097,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00177
sv_583,cd84e8e4bbcd0da68a6d7d4b4375c2d7,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_584,06948f31cf736d61eeb70c237073808c,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_585,bcf9a698969a4a469b03a41787871320,Glomeromycetes, Diversisporales, Gigasporaceae, Scutellospora, Scutellospora Scut1, VTX00049
sv_586,fe18e8075174c6e9b6c807dd322985cd,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus ORVIN GLO1E, VTX00151
sv_587,64dd065e597d5c107c3aca512fb614ac,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00165
sv_588,e388b8dabd813ac63c1dcae435ecdefc,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_589,1b774d303cefccfef44b0875313d0b83,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora, Diversispora sp., VTX00356
sv_590,3393d19c21b8e0b1d6c13362d7ac64b7,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_591,a73754b43c37120d51ab57144e8c905d,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_592,e28a911ae49d9f56ceb8cc2d40286168,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_593,f0815d0df0eef71a662b7bfc0983d7d2,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus,NA,NA
sv_594,389cb8d921ac1b06addcc69f0ddd4281,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_595,0e58800e87e07bc68fe31e6225fed47a,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus, Paraglomus Pa 1, VTX00335
sv_596,350669ba6e12b94fcd5a30856e101acf,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_597,db3fbab7d4f17a60004a9d8deda259f7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Whitfield type 17, VTX00195
sv_598,d35fa095c9d10a928f18ded067f77a74,Glomeromycetes, Diversisporales, Gigasporaceae, Scutellospora,NA,NA
