otu_num,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,confidence,primary_lifestyle
otu_685,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_686,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Occultifur,unidentified,Occultifur,13,Pathotroph-Saprotroph,Fungal Parasite-Litter Saprotroph-Undefined Saprotroph,Probable,mycoparasite
otu_687,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_688,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Kochiomyces,NA,Kochiomyces,13,Pathotroph,Plant Pathogen,Probable,pollen_saprotroph
otu_689,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA,Tricholomataceae,9,Pathotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite,Probable,NA
otu_690,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,Agaricales,7,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Possible,NA
otu_691,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Lyomyces,Lyomyces_mascarensis,Schizoporaceae,9,Saprotroph,Wood Saprotroph,Probable,wood_saprotroph
otu_692,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,unidentified,Lophiostoma,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_693,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia_spinosa,Absidia,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_694,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_695,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA,Mycena,13,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,Probable,NA
otu_696,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA,Coniochaetaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Possible,NA
