otu_num,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle
otu_1494,b7caa571d12d84def80f4c5e74e738d8,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma,NA,soil_saprotroph
otu_1495,42552624e4d14eb6512a9a18c3de9558,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,unidentified,NA
otu_1496,5468eae304a263ea46bba08f5093748f,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Leptosphaeria_avenaria,plant_pathogen
otu_1497,b29a8925a709ab54ea5e21a057408a8d,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,NA,plant_pathogen
otu_1498,655a7561e2b5c188b5f95742b37d19da,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon_sambuci,wood_saprotroph
otu_1499,e1d3d10bfe9593bc6681d65dd7824f9e,Ascomycota,Leotiomycetes,NA,NA,NA,NA,NA
otu_1500,ac3df580ae60bdd20ffc9cf0af6c965b,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1501,04fae4800d65d4015febb5fa5d2eec2c,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA,NA
otu_1502,53341523a192abb49fa859b72ba2c2e6,NA,NA,NA,NA,NA,NA,NA
otu_1503,90116351fe5af4fdd621964cba9e3f8a,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1504,3de01acb2be6aee32ab2dae45baa99f8,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Pilidium,Pilidium_pseudoconcavum,NA
otu_1505,51b8f30748111a26c300257edc75b028,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,Articulospora_proliferata,NA
otu_1506,e3fa4f50285300d5ff5c0cc73d324f90,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA,NA
otu_1507,280e23756f41cfc7b1826ccf5bd21f4c,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,NA,NA
otu_1508,cdd5c9b266ac34522fa22c3d21782db6,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,NA,plant_pathogen
otu_1509,2496ce71580c7298246c3c3a06eede54,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,NA
otu_1510,e1cefc537c0ff868a2ce120ddbbee311,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Vermispora,Vermispora_fusarina,NA
otu_1511,86602172617ef955c14ab060db54c827,Ascomycota,Dothideomycetes,NA,NA,NA,NA,NA
otu_1512,3d2cda0d870fd57db51d273c568fb6cd,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,ectomycorrhizal
otu_1513,05f54c3a628ffe26496fc50321657174,NA,NA,NA,NA,NA,NA,NA
otu_1514,dcd89d17a300a22ad5d8e46de6ec2ba6,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,NA
otu_1515,b1bcc39fe6867f410313278c84b81525,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus_cinereofuscus,litter_saprotroph
otu_1516,2e5107d18813cfbaaa03e5a8c16e151e,NA,NA,NA,NA,NA,NA,NA
otu_1517,0388a441a31bd13906ac98b360ef7de8,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,NA
otu_1518,d05e5b0105c3c9993172c429906de8b4,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA,NA
otu_1519,7ed422f81105214db55df1b5ee2a7913,Anthophyta,Eudicotyledonae,Fabales,Fabaceae,Trifolium,NA,NA
otu_1520,b85009671455e194356546c513ee9c6b,Basidiomycota,Agaricomycetes,Auriculariales,NA,NA,NA,NA
otu_1521,4a7c33a7eb08ba566ef785e26ebf6177,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1522,e269e73c3de3b124c169ad82b380df64,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1523,dd0d07c554ed1da50a4839fdc97409da,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthiopsis,unidentified,unspecified_pathotroph
otu_1524,6a1469ac08d11e4f1766aea11be4a8b9,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,root_endophyte
otu_1525,f68bd4e4a44e6822eeb520a2ea0ebec9,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,unidentified,NA
otu_1526,7e4ec7f3ccce9249254013d312747494,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_riparia,wood_saprotroph
otu_1527,9cd92f12d717a8ea273d902132fa7556,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,NA,NA,NA
otu_1528,f89a5f6d4cdf5c8e93130c27f66d06d3,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,NA
otu_1529,412379becd506bbbb5dbf3035cde9ee4,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,NA
