otu_num,class,order,family,genus,taxon,accession
otu_62,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo3,VTX00074
otu_63,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_64,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU13,VTX00140
otu_65,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus ORVIN GLO4,VTX00278
otu_66,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,NA
otu_67,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo2,VTX00280
otu_68,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_69,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_70,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G14,VTX00083
otu_71,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora sp.,VTX00356
otu_72,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G16,VTX00072
otu_73,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00301
otu_74,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU14,VTX00137
otu_75,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus SS-G1,VTX00448
otu_76,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_77,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_78,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,NA,NA
otu_79,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Glo59,VTX00276
otu_80,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora sp.,VTX00009
otu_81,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU12,VTX00188
otu_82,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_83,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_84,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00197
otu_85,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_86,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Yamato2005 E,VTX00088
otu_87,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Douhan9,VTX00056
otu_88,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo7,VTX00214
otu_89,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU6,VTX00202
otu_90,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Glo58,VTX00225
otu_91,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora Acau2,VTX00030
otu_92,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Scutellospora castanea,VTX00041
otu_93,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_94,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_95,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_96,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus acnaGlo2,VTX00155
otu_97,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_98,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA
otu_99,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,VTX00222
otu_100,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora MO-GC1,VTX00060
otu_101,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,NA
otu_102,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_103,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,NA
otu_104,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00315
otu_105,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA
otu_106,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus ORVIN GLO3E,VTX00309
otu_107,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus ORVIN GLO3D,VTX00310
otu_108,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora sp.,NA
otu_109,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo54,VTX00216
otu_110,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Glo59,VTX00276
otu_111,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora Other1,VTX00005
otu_112,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,VTX00222
otu_113,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_114,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_115,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,NA
otu_116,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA
otu_117,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA
otu_118,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus viscosum,VTX00063
otu_119,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_120,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_121,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_122,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora Acau3,VTX00228
otu_123,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU6,VTX00202
otu_124,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,VTX00222
otu_125,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_126,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Yamato2005 D,VTX00084
otu_127,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_128,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_129,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_130,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus LER09,VTX00341
otu_131,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Alguacil10 Glo6,VTX00395
otu_132,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_133,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Glo G8,VTX00340
otu_134,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_135,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora Acau10,VTX00028
otu_136,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_137,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA
otu_138,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_139,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,NA,NA
otu_140,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00159
otu_141,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,NA
otu_142,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G31,VTX00191
otu_143,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_144,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora MO-A5,VTX00026
otu_145,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_146,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora MO-Ar3,VTX00455
otu_147,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,NA,NA
otu_148,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_149,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00234
otu_150,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,NA,NA
otu_151,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,Ambispora fennica,VTX00283
otu_152,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,NA,NA
