#OTU ID	taxonomy	Confidence
29da1df2f3c133c76f4688baacd6032a	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.979224474
90cc9e52a9aca792605353b195058d1d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_xanthothrix	0.999004176
2d56f13ca2dea05edac36b2c7531db5a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Fusariella;s__unidentified	0.999934522
90267d6b05e649e1ff89ed7568607b8d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.999999997
1b1b9e4e7dd8a0c57b5d0881af0c43b6	Unassigned	0.068826341
50fa360f2fb485e691935fa48b7b4758	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Minimedusa;s__Minimedusa_polyspora	0.999999992
22e6d13782b7a217d59deb3f958cc249	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terricola	1
b74eaf0a78873dfc871aa7ccf09a2698	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Subulicystidium	0.999999998
fd664c6b221d6f2af763bcc190408013	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.990517504
f75490877fa5c3f15f4864471e884d95	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Panaeolus;s__Panaeolus_subbalteatus	0.999523106
cdb8b2474b63d658d7cd2809784c4571	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1
de752d5f083de8e87097151014cb424d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae	0.999999729
